Month,wind thousand megawatthours,all utility-scale solar thousand megawatthours,geothermal thousand megawatthours,wood and wood-derived fuels thousand megawatthours,other biomass thousand megawatthours
Mar 2020,29483.34842,6313.84128,1490.30076,3223.32576,1619.88632
Feb 2020,29234.78812,5651.85162,1155.82119,3154.20507,1460.8925
Jan 2020,28403.34171,4554.75439,1255.1733,3348.53397,1608.71039
Dec 2019,27182.95532,3494.2582,1301.34505,3407.44041,1588.44305
Nov 2019,25603.48242,4376.60011,1111.65421,3106.9027,1497.45552
Oct 2019,28136.35779,6130.60926,1276.96126,3081.45784,1565.47045
Sep 2019,24385.39379,6752.21851,1384.44874,3282.39997,1506.08424
Aug 2019,19869.22905,7887.78366,1409.47242,3717.00114,1601.67579
Jul 2019,22024.18732,8168.60965,1411.63231,3569.27276,1587.29495
Jun 2019,22947.49188,8005.55932,1362.32936,3338.68185,1553.74972
May 2019,25973.43269,7191.39772,1347.17064,3365.11317,1541.50275
Apr 2019,29710.63743,6835.4829,1239.03588,3027.11883,1464.03662
Mar 2019,26115.74688,5909.72354,1437.00904,3257.0005,1589.53912
Feb 2019,23000.42964,3826.74114,1307.98168,3165.17154,1453.67951
Jan 2019,25121.68447,3655.18942,1421.54577,3533.2102,1612.45821
Dec 2018,24306.28369,3109.63979,1446.08137,3404.05372,1799.2865
Nov 2018,22015.7339,3742.76491,1330.84363,3263.57095,1724.29467
Oct 2018,21193.89801,4969.69097,1273.09029,3215.94376,1743.38631
Sep 2018,18519.67063,5960.90148,1327.90769,3280.61644,1589.55751
Aug 2018,19846.43699,6695.40796,1367.05504,3629.80164,1757.51914
Jul 2018,16446.57439,6754.8758,1369.6113,3749.45617,1750.03112
Jun 2018,24702.85593,7414.66701,1299.83478,3470.74859,1719.99503
May 2018,23953.12766,6849.01231,1382.62025,3351.71509,1731.56179
Apr 2018,26430.85718,6056.72671,1187.93664,3101.86989,1725.69768
Mar 2018,26463.70391,5056.23832,1366.75303,3547.44236,1821.76353
Feb 2018,23189.48924,3896.41408,1274.09258,3234.95066,1716.06421
Jan 2018,25598.8222,3318.97521,1341.30742,3685.98967,1816.60719
Dec 2017,22200.68098,3035.00469,1380.90954,3733.61332,1895.89813
Nov 2017,22614.8668,3208.74868,1304.68441,3426.08503,1804.84134
Oct 2017,24368.70291,4649.67321,1214.12407,3303.26294,1727.85298
Sep 2017,17911.77474,5059.44137,1331.50304,3291.75095,1702.54554
Aug 2017,13878.84827,5368.53677,1362.99613,3750.56837,1824.89132
Jul 2017,16119.99604,5569.10622,1372.704,3702.89598,1823.77942
Jun 2017,20141.74696,6115.379,1283.74953,3437.01072,1796.52027
May 2017,23067.63856,5785.02726,1301.85842,3188.45369,1849.79647
Apr 2017,25377.94296,4906.67802,1341.22069,3146.37597,1741.68992
Mar 2017,25730.61672,4514.08465,1387.18475,3455.80207,1847.56888
Feb 2017,22091.10927,2751.19905,1238.87247,3185.52143,1697.11833
Jan 2017,20798.77101,2323.98616,1406.96716,3502.17798,1897.39109
Dec 2016,23145.52474,2423.52344,1453.88363,3615.44862,1944.49218
Nov 2016,19405.64211,2767.14449,1363.84969,3391.22211,1891.24862
Oct 2016,20335.38978,3191.22418,1353.16742,3176.08278,1693.10388
Sep 2016,16403.64017,3635.06928,1326.67585,3407.35783,1756.63635
Aug 2016,13589.32615,3969.18623,1324.26364,3722.23578,1860.30939
